frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
464.1,317.5,675.7244186796862,0.0,2352.0,449.9,434.5,444.4676478665236,0.0,1137.0,86644.3187277317,52536.17133478564,112483.7509825106,0.0,302424.6317312122,0.0,0.0,0.0,0.0,0.0
256.25,160.5,275.0463976010835,0.0,654.0,393.5,188.5,449.2698706419858,0.0,1137.0,85861.09265178537,18991.153441181457,114651.50310217602,0.0,302424.6317312122,0.0,0.0,0.0,0.0,0.0
395.4,329.5,386.7027799227722,0.0,1051.0,507.6,570.0,458.26786926425467,0.0,1137.0,109405.68545432544,80592.98028421706,115704.945472447,0.0,302424.6317312122,0.0,0.0,0.0,0.0,0.0
356.18333333333334,154.0,551.1290983567783,0.0,2175.0,324.56666666666666,188.0,363.0023584251516,0.0,1138.0,52406.350764525654,1277.8714046009554,79223.79931183974,0.0,302887.6004216388,0.0,0.0,0.0,0.0,0.0
305.1166666666667,70.5,437.29121081443606,0.0,2105.0,373.18333333333334,156.0,433.1433362320401,0.0,1435.0,75780.24357794395,2140.6758041756984,115403.1905988436,0.0,462425.20579516626,0.0,0.0,0.0,0.0,0.0
396.3666666666667,156.5,569.9019496564493,0.0,2341.0,424.73333333333335,188.0,472.957921548583,0.0,1436.0,89787.53356875226,1312.481283891364,127065.5634315964,0.0,465593.3765808412,0.0,0.0,0.0,0.0,0.0
405.65,159.5,629.197500127477,0.0,2305.0,327.98333333333335,188.0,379.3868953837084,0.0,1436.0,52763.04935036881,1865.1327453983395,91738.60008480358,0.0,463525.85767528747,0.0,0.0,0.0,0.0,0.0
416.75,156.5,609.7150871513678,0.0,2300.0,376.3666666666667,187.5,425.68943948480666,0.0,1241.0,69926.72944513144,5e-06,104063.72981005888,0.0,355697.1403610684,0.0,0.0,0.0,0.0,0.0
373.5,419.5,325.4007529186126,0.0,756.0,619.2,590.5,585.2465805111551,0.0,1436.0,167391.43863193627,100406.60813490217,184502.61064985255,0.0,463772.82512116345,0.0,0.0,0.0,0.0,0.0
310.31666666666666,154.0,445.3238705955726,0.0,2111.0,339.1166666666667,188.0,447.97481669050205,0.0,1437.0,70871.15176097177,1934.0674965128637,139665.81530103995,0.0,465958.01370308804,0.0,0.0,0.0,0.0,0.0
441.98333333333335,66.5,629.9108797194162,0.0,2297.0,398.96666666666664,157.0,480.5525974218523,0.0,1437.0,82744.33291706884,1830.6531319368223,145836.6162227862,0.0,465717.52687410207,0.0,0.0,0.0,0.0,0.0
471.68333333333334,154.0,711.865939899423,0.0,2298.0,377.98333333333335,188.0,444.83212157946616,0.0,1437.0,69739.00182911192,1934.0674965128637,125369.62024358526,0.0,466435.9453103918,0.0,0.0,0.0,0.0,0.0
381.5,497.5,323.6341298441807,0.0,717.0,674.0,637.5,627.1714279206284,0.0,1437.0,989.2786930241666,672.4409980515297,995.0340203308664,0.0,2278.051587018452,0.0,0.0,0.0,0.0,0.0
369.4,373.0,331.35726942380484,0.0,824.0,654.4,540.0,622.8093127113626,0.0,1437.0,1144.2207540464271,831.7644807359943,1131.7322776561143,0.0,2623.551587018452,0.0,0.0,0.0,0.0,0.0
